,level,message,location,device
0,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",D-LinkHomeHub
1,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",EdnetCam1
2,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",WeMoSwitch
3,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",EdnetGateway
4,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",Withings
5,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",WeMoLink
6,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",TP-LinkPlugHS110
7,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",EdnetCam2
8,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",iKettle2
9,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",TP-LinkPlugHS100
